quantity,mean_with_english,mean_without_english,diff,ci_lo,ci_hi,n_with_english,n_without_english,boot
d,0.18006798883108935,0.19123330400856794,-0.011165315177478596,-0.019461069541131172,-0.0018486726559312867,64,96,5000
c,0.7758558214079849,0.7670345896812553,0.008821231726729661,-0.007537857142349205,0.023383985714911883,64,96,5000
m,0.38792791070399246,0.38351729484062763,0.004410615863364831,-0.0037689285711746024,0.011691992857455941,64,96,5000
recovery_blind_H2,0.21979421601411486,0.06506105839643482,0.15473315761768003,0.06876668610246593,0.24144145838723857,64,96,5000
recovery_H2,0.4555085334242843,0.3660876924835428,0.08942084094074154,0.050509456659799105,0.130550962133299,64,96,5000
skill_H2,0.2317706214497731,0.30811218844647154,-0.07634156699669845,-0.203506543698721,0.04192601510676863,64,96,5000
