method,quantity,estimate,ci_lo,ci_hi,boot_share_zero,boot,seed
dersimonian_laird,tau,0.09899183136797199,0.03505259992532401,0.1368082009634975,0.006,5000,0
dersimonian_laird,I2,0.7749644688841656,0.2933515183183972,0.8734958010502181,0.006,5000,0
dersimonian_laird,Q,102.20608223934653,,,,5000,0
moment,tau,0.0826089362675953,0.0,0.11807696451297202,0.0406,5000,0
moment,I2,0.5693372632673428,0.0,0.7749141224812928,0.0406,5000,0
moment,SD,0.10948187465054578,,,,5000,0
moment,mean_SE,0.07184736965076867,,,,5000,0
