spec,n_cells,lam,lam_split,lam_rep,g_full,g_full_eiv,g_split,d_formula,d_replicate
pooled_ols,16,0.6501344586737371,0.48148683807477344,0.9432124046026723,-0.3828500287891816,-0.3198065497869437,-0.3605732626494074,-0.21042461324988487,-0.38228214651322223
cell_fe,16,0.5501594758812646,0.3793279422698657,0.9505350642743201,-0.37348604105233896,-0.27004129803452614,-0.36159420741146925,-0.1351289289148529,-0.3804112241640723
per_cell_mean,8,0.6790610817517408,0.5371450796931089,1.0408781546528125,-0.34008136039393416,-0.24284867878967104,-0.3635383574594152,-0.18696666587798078,-0.3472044368351166
